"Serial #","Building Name","Location","Floor","Installed","Sharp ID #","IP Address","B/W Meter","Colour Meter","Model",,
8506333800,"MIP","309A","3rd","Y",50292,"http://130.113.152.90",320746,60899,"MX-4501N",,
8505453600,"MIP ","309A","3rd","Y",44900,"http://130.113.152.91",259639,19996,"MX-3501N",,
921187300,"MIP ","B20","bsmt","Y",75123413,"http://130.113.152.89",3353,52,"MX-3501N",,
8505130600,"MIPS",206,"2ND","Y",43881,"http://130.113.164.55",875221,189117,"MX-3501N",,
8500884600,"MIPS",303,"3RD","Y",45970,"http://130.113.162.30",449756,83946,"MX-3501N",,
7505367500,"MIPS",306,"3rd","Y",58957,"http://130.113.162.76",184369,134495,"MX-2300N",,
"7507539Y00","MOULTON HALL","MAIN LOBBY","1ST","Y",45074,"http://130.113.124.101",80107,21591,"MX-2300N",,
8505544400,"MUSC",112,"1st","Y",41968,"http://130.113.137.176",262331,1136,"MX-2300N",,
85069912,"MUSC",222,"2ND","Y",44636,"http://130.113.30.238",77054,24931,"MX-2700N",,
8503496500,"MUSC",212,"2nd","Y",44648,"http://130.113.137.60",87715,35936,"MX-2700N",,
8500858600,"MUSC","B107","BSMT","Y",44750,"http://130.113.137.95",358845,34452,"MX-3501N",,
8504639900,"MUSC","B101","bsmt","Y",48749,"http://130.113.56.9",504241,30753,"MX-3501N",,
8000955000,"MUSC",225,"2nd","Y",55538,"http://130.113.137.193",46059,28277,"MX-C311",,
8507708300,"MUSEUM OF ART",221,"2ND","Y",45564,"http://130.113.232.49",106729,28114,"MX-2300N",,
8504834900,"NRB",300,"3rd","Y",54060,"http://130.113.107.37",246532,11644,"MX-4501N",,
8506931200,"NRB ",103,"1st","Y",41961,"http://130.113.78.6",153146,39252,"MX-2700N",,
8505960600,"NUCLEAR REACTOR","MAIN LOBBY","1ST","Y",44830,"http://130.113.78.134",516372,7999,"MX-4501N",,
8312719700,"NUCLEAR REACTOR","Reactor","1ST","Y",45512,"http://130.113.78.196",114841,,"AR-M207",,
8505867400,"PRESIDENT RESIDENCE",200,"2ND","Y",44699,"http://130.113.124.153",188728,29551,"MX-4501N",,
8501629700,"Psychology",112,"1st","Y",48780,"http://130.113.219.86",686649,6943,"MX-4501N",,
8504669900,"STONE CURCH","MAIN FLOOR","1ST","Y",48769,,478236,82631,"MX-3501N",,
921168300,"Tandem ","MAIN LOBBY","1st","Y",74992884,"http://130.113.141.216",15402,17860,"DXC 310",,
8500795600,"TB-13",124,1,"Y",45070,"http://130.113.21.35",25649,27137,"MX-3501N",,
8507303200,"THODE LIBRARY","2ND","2nd","Y",41995,"http://130.113.214.86",88595,1663,"MX-3501N",,
8507201200,"THODE LIBRARY","1ST","1ST","Y",42003,"http://130.113.214.20",211658,42917,"MX-3501N",,
8507937100,"THODE LIBRARY","1ST","1ST","Y",43578,"http://130.113.214.16",266155,41006,"MX-3501N",,
8507956100,"THODE LIBRARY","3rd floor","3rd","Y",43843,"http://130.113.214.87",82057,46175,"MX-3501N",,
8505405600,"Thode Library","Main lobby","1st","Y",43847,"http://130.113.214.12",162293,26994,"MX-3501N",,
8505424600,"Thode Library","MAIN FLOOR","1st","Y",45898,"http://130.113.214.85",275039,52012,"MX-3501N",,
8507973100,"THODE LIBRARY staff","1ST","1ST","Y",43580,"http://130.113.214.13",156812,14564,"MX-3501N",,
8503528500,"TOGO SALMON HALL",726,"7th","Y",44728,"http://130.113.87.72",181687,22657,"MX-2300N",,
"7508154X00","TOGO SALMON HALL","ROOM 629","6TH","Y",44793,"http://130.113.87.21",434835,31791,"MX-3501N",,
8505965600,"TOGO SALMON HALL",414,"4TH","Y",44816,"http://130.113.231.7",362563,16037,"MX-4501N",,
8504122300,"TOGO SALMON HALL",333,"2ND","Y",44959,"http://130.113.231.53",405293,27353,"MX-3501N",,
8504270300,"TOGO SALMON HALL",313,"3RD","Y",45092,"http://130.113.231.29",172366,25286,"MX-3501N",,
